Player,Team,Salary,S/C,Pos,GP,G,A,P,plus_minus,PIM,PperGP,EVG,EVP,PPG,PPP,SHG,SHP,OTG,GWG,S,TOI
Max Pacioretty,VGK,7000000,L,L,25,13,12,25,11,4,1,10,21,3,4,0,0,3,4,110,1062
Jean-Gabriel Pageau,NYI,7000000,R,C,28,9,8,17,6,6,0.61,4,9,3,6,2,2,0,3,49,1013
Matthew Tkachuk,CGY,7000000,L,L,28,7,15,22,3,28,0.79,4,12,3,10,0,0,0,0,90,1158
Thomas Chabot,OTT,7000000,L,D,28,4,16,20,-13,30,0.71,3,16,1,4,0,0,0,0,65,1542
David Krejci,BOS,7000000,R,C,21,1,12,13,2,12,0.62,0,7,1,6,0,0,0,0,31,1032
Johnny Gaudreau,CGY,6750000,L,L,28,11,12,23,1,4,0.82,5,12,6,11,0,0,1,3,56,1151
Mark Giordano,CGY,6750000,L,D,28,3,10,13,-4,6,0.46,2,9,1,4,0,0,0,0,60,1306
Blake Wheeler,WPG,6500000,R,R,27,7,18,25,-6,22,0.93,5,14,2,11,0,0,0,1,62,1142
Gabriel Landeskog,COL,6500000,L,L,24,7,10,17,2,14,0.71,4,13,3,4,0,0,2,4,70,1202
Nick Leddy,NYI,6500000,L,D,29,1,17,18,1,2,0.62,0,10,1,8,0,0,0,0,40,1275
Jakub Voracek,PHI,6250000,L,R,22,3,15,18,-1,10,0.82,3,14,0,4,0,0,0,0,44,991
