Player,Team,Salary,S/C,Pos,GP,G,A,P,plus_minus,PIM,PperGP,EVG,EVP,PPG,PPP,SHG,SHP,OTG,GWG,S,TOI
Yegor Sharangovich,NJD,792500,L,C,23,5,4,9,3,0,0.39,5,9,0,0,0,0,1,2,41,904
Mikhail Maltsev,NJD,792500,L,L,13,4,0,4,3,4,0.31,4,4,0,0,0,0,0,0,23,648
Dakota Joshua,STL,792500,L,C,7,1,0,1,-1,5,0.14,1,1,0,0,0,0,0,0,5,505
Niko Mikkola,STL,787500,L,D,18,1,0,1,-6,4,0.06,1,1,0,0,0,0,0,0,15,800
Oliver Kylington,CGY,787500,L,D,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,737
Nikolai Knyzhov,SJS,780000,L,D,25,0,2,2,1,29,0.08,0,2,0,0,0,0,0,0,15,880
Teddy Blueger,PIT,750000,L,C,27,4,11,15,8,2,0.56,2,13,0,0,2,2,0,1,28,903
Corey Perry,MTL,750000,R,R,20,5,5,10,7,16,0.5,5,7,0,3,0,0,0,1,25,745
Nic Dowd,WSH,750000,R,C,27,6,2,8,6,20,0.3,6,8,0,0,0,0,0,2,29,862
Nicolas Hague,VGK,750000,L,D,22,2,6,8,6,6,0.36,2,8,0,0,0,0,0,0,35,988
Nicolas Roy,VGK,750000,R,C,23,1,3,4,4,8,0.17,1,4,0,0,0,0,0,0,19,796
Trevor Lewis,WPG,750000,R,C,27,1,2,3,2,0,0.11,0,2,0,0,1,1,0,0,29,539
Nate Thompson,WPG,750000,L,C,15,1,0,1,2,2,0.07,1,1,0,0,0,0,0,1,3,484
Mark Pysyk,DAL,750000,R,D,20,1,0,1,4,14,0.05,1,1,0,0,0,0,0,0,19,736
Jani Hakanpaa,ANA,750000,R,D,29,0,1,1,-1,16,0.03,0,1,0,0,0,0,0,0,27,1131
John Hayden,ARI,750000,R,C,12,0,0,0,-5,15,0,0,0,0,0,0,0,0,0,6,573
Andy Andreoff,PHI,750000,L,C,5,0,0,0,-4,9,0,0,0,0,0,0,0,0,0,0,492
Vinni Lettieri,ANA,750000,R,C,5,0,0,0,-3,0,0,0,0,0,0,0,0,0,0,7,763
Andy Welinski,ANA,750000,R,D,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,702
Conor Sheary,WSH,735000,L,L,24,6,2,8,-1,10,0.33,6,8,0,0,0,0,0,0,27,755
Rudolfs Balcers,SJS,735000,L,L,13,2,5,7,-3,2,0.54,2,6,0,1,0,0,0,1,17,850
Victor Mete,MTL,735000,L,D,7,0,0,0,0,6,0,0,0,0,0,0,0,0,0,3,881
Mathieu Olivier,NSH,730000,R,R,16,1,2,3,-2,26,0.19,0,2,1,1,0,0,0,0,13,615
Juho Lammikko,FLA,725000,L,C,21,3,0,3,-1,2,0.14,3,3,0,0,0,0,0,0,20,601
Jack Studnicka,BOS,725000,R,C,16,1,2,3,-1,0,0.19,1,3,0,0,0,0,0,0,22,792
Kenny Agostino,TOR,725000,L,L,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,248
Drake Batherson,OTT,700000,R,R,31,11,10,21,-11,6,0.68,8,11,3,10,0,0,0,2,69,961
Jason Spezza,TOR,700000,R,C,29,5,11,16,0,6,0.55,4,11,1,5,0,0,0,1,40,625
Filip Hronek,DET,700000,R,D,29,0,15,15,-13,10,0.52,0,10,0,5,0,0,0,0,59,1414
Joe Thornton,TOR,700000,L,C,18,3,9,12,1,4,0.67,3,8,0,4,0,0,0,0,20,906
Mathieu Joseph,TBL,700000,L,R,26,6,4,10,2,4,0.38,5,8,1,2,0,0,0,2,27,656
Colin Blackwell,NYR,700000,R,C,17,5,4,9,0,4,0.53,3,7,2,2,0,0,0,1,28,781
Travis Boyd,TOR,700000,R,C,20,3,5,8,1,2,0.4,2,7,1,1,0,0,0,0,15,580
Daniel Sprong,WSH,700000,R,R,16,5,2,7,3,2,0.44,5,7,0,0,0,0,0,0,18,596
Kevin Rooney,NYR,700000,L,C,24,4,3,7,3,11,0.29,3,6,0,0,1,1,0,0,24,746
Michael Del Zotto,CBJ,700000,L,D,29,2,5,7,8,4,0.24,2,7,0,0,0,0,0,0,50,1000
Phillip Di Giuseppe,NYR,700000,L,L,23,1,6,7,2,2,0.3,1,7,0,0,0,0,0,0,37,686
Drake Caggiula,ARI,700000,L,C,21,1,6,7,-1,15,0.33,1,7,0,0,0,0,0,0,27,725
Carl Grundstrom,LAK,700000,L,R,25,3,3,6,-3,8,0.24,3,4,0,2,0,0,0,1,36,756
Nathan Bastian,NJD,700000,R,R,25,2,4,6,2,11,0.24,2,6,0,0,0,0,0,0,31,690
Mason Marchment,FLA,700000,L,L,10,2,4,6,0,6,0.6,2,6,0,0,0,0,0,0,14,774
Zach Whitecloud,VGK,700000,R,D,25,2,4,6,3,10,0.24,2,6,0,0,0,0,0,1,27,1132
Matt Roy,LAK,700000,R,D,22,0,6,6,2,4,0.27,0,5,0,1,0,0,0,0,37,1154
Alexander Volkov,TBL,700000,L,R,17,3,2,5,2,4,0.29,3,4,0,1,0,0,0,0,16,571
Nico Sturm,MIN,700000,L,C,23,3,2,5,1,6,0.22,3,5,0,0,0,0,0,0,31,628
Riley Sheahan,BUF,700000,L,C,25,3,2,5,0,4,0.2,3,5,0,0,0,0,0,0,16,747
Dylan Coghlan,VGK,700000,R,D,14,3,2,5,-1,2,0.36,3,5,0,0,0,0,0,0,15,851
Jake Evans,MTL,700000,R,C,25,2,3,5,3,20,0.2,1,4,0,0,1,1,0,0,30,700
Patrick Marleau,SJS,700000,L,C,25,1,4,5,-2,6,0.2,1,5,0,0,0,0,0,0,26,796
Dylan Gambrell,SJS,700000,R,C,21,1,4,5,-5,6,0.24,1,5,0,0,0,0,0,0,20,956
Tobias Rieder,BUF,700000,L,L,23,4,0,4,-5,0,0.17,4,4,0,0,0,0,0,0,34,740
Kyle Clifford,STL,700000,L,L,26,3,1,4,-1,19,0.15,3,4,0,0,0,0,0,0,35,547
Yakov Trenin,NSH,700000,L,C,17,2,2,4,3,2,0.24,2,4,0,0,0,0,0,0,18,597
Mark Jankowski,PIT,700000,L,C,24,2,2,4,-3,0,0.17,2,4,0,0,0,0,0,0,23,635
Devin Shore,EDM,700000,L,C,16,1,3,4,-3,2,0.25,0,3,0,0,1,1,0,0,7,581
Jakub Zboril,BOS,700000,L,D,23,0,4,4,-2,8,0.17,0,3,0,1,0,0,0,0,17,1075
Brett Ritchie,CGY,700000,R,R,7,1,2,3,0,6,0.43,1,3,0,0,0,0,0,0,7,557
Evan Rodrigues,PIT,700000,R,C,11,1,2,3,0,0,0.27,1,3,0,0,0,0,0,0,16,924
Gabriel Carlsson,CBJ,700000,L,D,10,1,2,3,-3,4,0.3,1,2,0,1,0,0,0,0,8,881
Josh Mahura,ANA,700000,L,D,10,1,2,3,-2,4,0.3,1,3,0,0,0,0,0,0,11,939
Keegan Kolesar,VGK,700000,R,R,21,0,3,3,-3,14,0.14,0,3,0,0,0,0,0,0,15,534
Ryan Lomberg,FLA,700000,L,L,18,1,1,2,1,9,0.11,1,2,0,0,0,0,0,0,25,584
Steven Lorentz,CAR,700000,L,C,16,1,1,2,-1,6,0.13,1,2,0,0,0,0,0,1,12,609
Andy Greene,NYI,700000,L,D,29,0,2,2,7,4,0.07,0,2,0,0,0,0,0,0,19,1066
Chad Ruhwedel,PIT,700000,R,D,14,0,2,2,3,14,0.14,0,2,0,0,0,0,0,0,13,907
Michael Dal Colle,NYI,700000,L,L,16,0,2,2,1,2,0.13,0,2,0,0,0,0,0,0,5,665
Matthew Highmore,CHI,700000,L,C,20,0,2,2,-5,6,0.1,0,2,0,0,0,0,0,0,18,542
Michael Amadio,LAK,700000,R,C,20,0,2,2,-5,2,0.1,0,1,0,1,0,0,0,0,19,746
Gustav Forsling,FLA,700000,L,D,14,0,2,2,0,2,0.14,0,1,0,1,0,0,0,0,31,1073
Patrick Russell,EDM,700000,R,R,7,0,2,2,1,0,0.29,0,2,0,0,0,0,0,0,10,639
Jacob MacDonald,COL,700000,L,D,14,1,0,1,4,6,0.07,1,1,0,0,0,0,0,0,32,972
Matt Irwin,BUF,700000,L,D,13,0,2,2,-5,6,0.15,0,2,0,0,0,0,0,0,16,1099
